time sex age shape trial subj
2.68 M 31 Box 1 1
4.14 M 31 Box 2 1
7.22 M 31 Box 3 1
8 M 31 Box 4 1
7.09 M 30 Box 1 2
8.55 M 30 Box 2 2
8.79 M 30 Box 3 2
9.68 M 30 Box 4 2
6.05 M 30 Box 1 3
6.25 M 30 Box 2 3
7.04 M 30 Box 3 3
7.8 M 30 Box 4 3
4.35 M 27 Box 1 4
6.5 M 27 Box 2 4
5.17 M 27 Box 3 4
6.5 M 27 Box 4 4
4.08 M 30 Box 1 5
6 M 30 Box 2 5
6.82 M 30 Box 3 5
6.68 M 30 Box 4 5
8.22 M 28 Box 1 6
8.01 M 28 Box 2 6
8.18 M 28 Box 3 6
8.45 M 28 Box 4 6
4.51 M 34 Box 1 7
4.35 M 34 Box 2 7
4.87 M 34 Box 3 7
6.38 M 34 Box 4 7
7.36 M 28 Box 1 8
6.63 M 28 Box 2 8
7.99 M 28 Box 3 8
7.26 M 28 Box 4 8
3.34 M 28 Box 1 9
5.24 M 28 Box 2 9
4.27 M 28 Box 3 9
6.29 M 28 Box 4 9
7.19 M 33 Box 1 10
7.96 M 33 Box 2 10
7.18 M 33 Box 3 10
7.99 M 33 Box 4 10
2.18 F 17 Box 1 11
5.96 F 17 Box 2 11
4.52 F 17 Box 3 11
3.86 F 17 Box 4 11
3.23 F 24 Box 1 12
3.69 F 24 Box 2 12
3.54 F 24 Box 3 12
4.96 F 24 Box 4 12
0.23 F 7 Box 1 13
0.2 F 7 Box 2 13
0.81 F 7 Box 3 13
0.58 F 7 Box 4 13
0.52 M 11 Box 1 14
0.56 M 11 Box 2 14
0.62 M 11 Box 3 14
0.5 M 11 Box 4 14
3.09 F 38 Box 1 15
3.85 F 38 Box 2 15
3.27 F 38 Box 3 15
3.19 F 38 Box 4 15
1.04 M 45 Box 1 16
2.27 M 45 Box 2 16
4.11 M 45 Box 3 16
4.66 M 45 Box 4 16
1.33 F 7 Box 1 17
1.43 F 7 Box 2 17
0.86 F 7 Box 3 17
2.34 F 7 Box 4 17
2.61 F 10 Box 1 18
4.27 F 10 Box 2 18
3.17 F 10 Box 3 18
2.73 F 10 Box 4 18
2.15 F 10 Box 1 19
3.26 F 10 Box 2 19
4.51 F 10 Box 3 19
4.31 F 10 Box 4 19
4.93 M 31 Box 1 20
5.58 M 31 Box 2 20
6.12 M 31 Box 3 20
6.01 M 31 Box 4 20
4.68 M 33 Box 1 21
4.46 M 33 Box 2 21
5.75 M 33 Box 3 21
6.49 M 33 Box 4 21
2.34 M 52 Box 1 22
4.7 M 52 Box 2 22
5.22 M 52 Box 3 22
6.68 M 52 Box 4 22
2.32 F 13 Box 1 23
2.73 F 13 Box 2 23
2.42 F 13 Box 3 23
3.12 F 13 Box 4 23
3.7 M 37 Box 1 24
4.61 M 37 Box 2 24
6.39 M 37 Box 3 24
5.15 M 37 Box 4 24
1.93 M 10 Box 1 25
2.12 M 10 Box 2 25
4.24 M 10 Box 3 25
3.63 M 10 Box 4 25
1.27 M 11 Box 1 26
1.27 M 11 Box 2 26
2.41 M 11 Box 3 26
2.74 M 11 Box 4 26
0.54 M 12 Box 1 27
0.4 M 12 Box 2 27
0.48 M 12 Box 3 27
0.38 M 12 Box 4 27
2.54 M 13 Box 1 28
2.72 M 13 Box 2 28
2.58 M 13 Box 3 28
3.51 M 13 Box 4 28
2.18 M 41 Box 1 29
3.45 M 41 Box 2 29
3.55 M 41 Box 3 29
3.02 M 41 Box 4 29
0.35 M 7 Box 1 30
0.63 M 7 Box 2 30
0.5 M 7 Box 3 30
1.05 M 7 Box 4 30
1.79 F 39 Box 1 31
3.48 F 39 Box 2 31
3.85 F 39 Box 3 31
3.04 F 39 Box 4 31
3.17 M 11 Box 1 32
3.71 M 11 Box 2 32
4.79 M 11 Box 3 32
4.04 M 11 Box 4 32
4.08 M 10 Box 1 33
4.46 M 10 Box 2 33
4.46 M 10 Box 3 33
5.68 M 10 Box 4 33
2.83 M 37 Box 1 34
4.56 M 37 Box 2 34
3.49 M 37 Box 3 34
4.84 M 37 Box 4 34
2.31 F 38 Box 1 35
3.01 F 38 Box 2 35
1.61 F 38 Box 3 35
2.85 F 38 Box 4 35
0.28 F 6 Box 1 36
0.15 F 6 Box 2 36
0.06 F 6 Box 3 36
0.1 F 6 Box 4 36
2.52 M 11 Box 1 37
2.17 M 11 Box 2 37
2.67 M 11 Box 3 37
3.39 M 11 Box 4 37
1.4 F 45 Box 1 38
0.38 F 45 Box 2 38
2.06 F 45 Box 3 38
2.04 F 45 Box 4 38
3.73 F 13 Box 1 39
3.53 F 13 Box 2 39
3.99 F 13 Box 3 39
5.7 F 13 Box 4 39
2.32 M 49 Box 1 40
2.5 M 49 Box 2 40
2.38 M 49 Box 3 40
3.32 M 49 Box 4 40
0.13 F 5 Box 1 41
0.41 F 5 Box 2 41
0.28 F 5 Box 3 41
0.53 F 5 Box 4 41
0.22 F 45 Box 1 42
0.33 F 45 Box 2 42
0.58 F 45 Box 3 42
0.5 F 45 Box 4 42
1.16 M 10 Box 1 43
1.45 M 10 Box 2 43
1.79 M 10 Box 3 43
1.87 M 10 Box 4 43
2.35 M 13 Box 1 44
3.35 M 13 Box 2 44
4.55 M 13 Box 3 44
4.42 M 13 Box 4 44
2.31 M 13 Box 1 45
4.12 M 13 Box 2 45
4.47 M 13 Box 3 45
4.92 M 13 Box 4 45
2.77 M 11 Box 1 46
3.86 M 11 Box 2 46
3.94 M 11 Box 3 46
4.81 M 11 Box 4 46
1.55 F 11 Box 1 47
1.32 F 11 Box 2 47
1.61 F 11 Box 3 47
2.17 F 11 Box 4 47
2.52 M 39 Box 1 48
3.99 M 39 Box 2 48
5.93 M 39 Box 3 48
5.05 M 39 Box 4 48
3.66 F 36 Box 1 49
7.01 F 36 Box 2 49
5.79 F 36 Box 3 49
